Horizon,Model,Symbol,MSE,QLIKE
t+1,HAR,ADA,9.069992251867679e-05,0.43656939855531757
t+1,HAR,BNB,2.5866876460757757e-05,0.4323224019679612
t+1,HAR,BTC,5.749081716042087e-06,0.4158934002938521
t+1,HAR,DOGE,3.346598919588949e-05,0.5994038813875907
t+1,HAR,ETH,2.4070724710419847e-05,0.4038493111563573
t+1,HAR,TRX,2.191772824322904e-05,0.5305037077709146
t+1,HAR,XLM,6.926539720392437e-05,0.4454721841289571
t+1,HAR,XRP,8.524873730230402e-05,0.5804770916017874
t+1,HAR-CJ,ADA,9.139077762822053e-05,0.3799002051158395
t+1,HAR-CJ,BNB,2.269283273968444e-05,0.3410581235667019
t+1,HAR-CJ,BTC,5.5877847771562634e-06,0.34960809395446885
t+1,HAR-CJ,DOGE,2.5810336199992652e-05,0.4750576845283828
t+1,HAR-CJ,ETH,2.3735872866467997e-05,0.3309284643987924
t+1,HAR-CJ,TRX,2.2601889205594355e-05,0.4240960270729099
t+1,HAR-CJ,XLM,7.126816958371154e-05,0.38820756338864015
t+1,HAR-CJ,XRP,8.34138586300904e-05,0.5197988706637153
t+1,HAR-SJ,ADA,9.463364290270847e-05,0.39055706497746706
t+1,HAR-SJ,BNB,2.8108259860624866e-05,0.37188784628068255
t+1,HAR-SJ,BTC,6.799692469270862e-06,0.38691185145122586
t+1,HAR-SJ,DOGE,9.58102094096405e-05,0.4718841075467194
t+1,HAR-SJ,ETH,2.492217261655093e-05,0.370833340614612
t+1,HAR-SJ,TRX,2.6683808110687662e-05,0.4062772439138648
t+1,HAR-SJ,XLM,8.109522723285892e-05,0.3927205951494342
t+1,HAR-SJ,XRP,9.507286735855935e-05,0.5131738020618304
t+1,HAR-TCJ,ADA,0.00010453536743041892,0.4383744299381566
t+1,HAR-TCJ,BNB,3.9735279574751646e-05,0.374226586854022
t+1,HAR-TCJ,BTC,8.322078306859868e-06,0.6711474181606844
t+1,HAR-TCJ,DOGE,2.6049847651381223e-05,0.4715729793519826
t+1,HAR-TCJ,ETH,3.846011028585938e-05,0.33767078658150645
t+1,HAR-TCJ,TRX,2.525847773928495e-05,0.34788676174620026
t+1,HAR-TCJ,XLM,7.120806841702191e-05,0.38913606292498726
t+1,HAR-TCJ,XRP,9.572828476201326e-05,0.520454000738078
t+1,LHAR-TCJ,ADA,9.837455541912152e-05,0.42727906974207497
t+1,LHAR-TCJ,BNB,3.790358164106655e-05,0.3823482194235378
t+1,LHAR-TCJ,BTC,7.983759262019108e-06,0.6528323147318602
t+1,LHAR-TCJ,DOGE,2.6009691899885782e-05,0.4500002762887443
t+1,LHAR-TCJ,ETH,3.5545172294246205e-05,0.3376069707418432
