Horizon,Model,Symbol,MSE,QLIKE
t+1,HAR,ADA,9.297842105003882e-06,0.4204565758401837
t+1,HAR,BNB,2.8983640431361684e-06,0.43530063386427725
t+1,HAR,BTC,1.284382010396938e-06,0.45158828303449816
t+1,HAR,DOGE,2.7144639462446353e-05,0.5899249000118907
t+1,HAR,ETH,3.310261386379484e-06,0.4265420914943263
t+1,HAR,TRX,4.309612922394626e-06,0.5656895084739081
t+1,HAR,XLM,1.6988329663468328e-05,0.45218924360776946
t+1,HAR,XRP,1.972734647211028e-05,0.6132820764693415
t+1,HAR-CJ,ADA,8.140366252035581e-06,0.3581036112901451
t+1,HAR-CJ,BNB,2.365308028891662e-06,0.3464728218179356
t+1,HAR-CJ,BTC,1.1202318402757062e-06,0.38412596377395336
t+1,HAR-CJ,DOGE,2.079781710047939e-05,0.47356211756817473
t+1,HAR-CJ,ETH,2.8604429017056304e-06,0.3557176667519628
t+1,HAR-CJ,TRX,3.893190817372824e-06,0.44113690705018227
t+1,HAR-CJ,XLM,1.5290337007146854e-05,0.397931880882393
t+1,HAR-CJ,XRP,1.859766981962126e-05,0.5608631543548027
t+1,HAR-SJ,ADA,8.072524081427537e-06,0.3597402501031636
t+1,HAR-SJ,BNB,2.5977989597482275e-06,0.34381634520147275
t+1,HAR-SJ,BTC,1.184363769265567e-06,0.3932005730637488
t+1,HAR-SJ,DOGE,3.4697584986972386e-05,0.46792114786077527
t+1,HAR-SJ,ETH,3.016396867708706e-06,0.38654484548446444
t+1,HAR-SJ,TRX,3.34985151856648e-06,0.4143208242411722
t+1,HAR-SJ,XLM,1.6705261467735728e-05,0.3966000729688159
t+1,HAR-SJ,XRP,1.802465621272072e-05,0.5458099446194375
t+1,HAR-TCJ,ADA,6.896232876818364e-06,0.3156779529144296
t+1,HAR-TCJ,BNB,2.333283031126486e-06,0.33166347494646664
t+1,HAR-TCJ,BTC,1.05114884100454e-06,0.3706572441698015
t+1,HAR-TCJ,DOGE,2.08174881056103e-05,0.4594884183665122
t+1,HAR-TCJ,ETH,2.5508279613838896e-06,0.3285663303731522
t+1,HAR-TCJ,TRX,2.751752270612621e-06,0.3315454840286727
t+1,HAR-TCJ,XLM,1.473073457873387e-05,0.402698178668651
t+1,HAR-TCJ,XRP,1.9471143995056947e-05,0.5635933160659092
t+1,LHAR-TCJ,ADA,6.767920990424056e-06,0.2988091723837513
t+1,LHAR-TCJ,BNB,2.4061559618103265e-06,0.32842256818854554
t+1,LHAR-TCJ,BTC,1.072697760773421e-06,0.3567397815624398
t+1,LHAR-TCJ,DOGE,2.07049254878403e-05,0.44143426192871765
t+1,LHAR-TCJ,ETH,2.5378034349353103e-06,0.31536463307588747
t+1,LHAR-TCJ,TRX,2.791476293459285e-06,0.4887372185825185
t+1,LHAR-TCJ,XLM,1.4775900650844994e-05,0.3911904630262061
t+1,LHAR-TCJ,XRP,1.934080607969785e-05,0.5458987967906564
t+1,Fuzzy HAR,ADA,5.489888120340242e-06,0.44410760839593955
t+1,Fuzzy HAR,BNB,2.2402027067801754e-06,0.3737268624137883
t+1,Fuzzy HAR,BTC,9.901596970835012e-07,0.3379902729224195
t+1,Fuzzy HAR,DOGE,2.2643694042758638e-05,0.47550910562274046
t+1,Fuzzy HAR,ETH,2.358055612389259e-06,0.3040976378082836
t+1,Fuzzy HAR,TRX,1.9718379807787655e-06,0.9974843475887261
t+1,Fuzzy HAR,XLM,1.0799595899802023e-05,0.27581881992048296
t+1,Fuzzy HAR,XRP,1.548427152848279e-05,1.1947373158492256
t+1,RV-FTS,ADA,7.2931530039746865e-06,0.3328799110104979
t+1,RV-FTS,BNB,2.7036914566115785e-06,0.326225439909665
t+1,RV-FTS,BTC,1.0674209039363486e-06,0.40466969387873125
t+1,RV-FTS,DOGE,2.437485746118274e-05,0.4684128166978956
t+1,RV-FTS,ETH,2.6084929452222752e-06,0.35490228413453984
t+1,RV-FTS,TRX,3.28179379418403e-06,0.4380099767958618
t+1,RV-FTS,XLM,1.4339728292256e-05,0.38807574299228076
t+1,RV-FTS,XRP,1.8122814233093872e-05,0.5712322810206902
t+7,HAR,ADA,5.26996246299359e-06,0.3293982617677383
t+7,HAR,BNB,1.6775299254421519e-06,0.34109236731504833
t+7,HAR,BTC,6.226123208957797e-07,0.27008208743552403
t+7,HAR,DOGE,1.4664495510737816e-05,0.4432160428009185
t+7,HAR,ETH,1.7695151797680292e-06,0.29743020793059227
t+7,HAR,TRX,2.317239241465585e-06,0.4649885912888776
t+7,HAR,XLM,7.497804197900032e-06,0.3711228268721754
t+7,HAR,XRP,6.500745029728479e-06,0.42037191128171647
t+7,HAR-CJ,ADA,4.890642607259509e-06,0.30629757033511035
t+7,HAR-CJ,BNB,1.505918582664629e-06,0.31540516579575945
t+7,HAR-CJ,BTC,5.66892339523275e-07,0.25101353259016074
t+7,HAR-CJ,DOGE,1.3329497637570905e-05,0.41108351284631556
t+7,HAR-CJ,ETH,1.6493722331511179e-06,0.27909712506548306
t+7,HAR-CJ,TRX,2.186911901829281e-06,0.4185144196169971
t+7,HAR-CJ,XLM,6.6847845514199745e-06,0.34096726556881096
t+7,HAR-CJ,XRP,6.271812878288605e-06,0.40789568510561847
t+7,HAR-SJ,ADA,4.776544074964078e-06,0.2912095333202871
t+7,HAR-SJ,BNB,1.5980672836194951e-06,0.31372505220424785
t+7,HAR-SJ,BTC,5.810068329582121e-07,0.25264608318744985
t+7,HAR-SJ,DOGE,1.4090313566927705e-05,0.3971942805655288
t+7,HAR-SJ,ETH,1.7047104024622557e-06,0.27499373870460053
t+7,HAR-SJ,TRX,1.852876678652048e-06,0.3835099807204626
t+7,HAR-SJ,XLM,7.356659261773879e-06,0.33814863407382184
t+7,HAR-SJ,XRP,5.852817200747319e-06,0.37946318336216117
t+7,HAR-TCJ,ADA,4.415876175015534e-06,0.26419102461798194
t+7,HAR-TCJ,BNB,1.4740393152375739e-06,0.30464646876884227
t+7,HAR-TCJ,BTC,5.451263393158112e-07,0.24009700442446083
t+7,HAR-TCJ,DOGE,1.3254502538631128e-05,0.393467429454524
t+7,HAR-TCJ,ETH,1.484269620046041e-06,0.2537768063907224
t+7,HAR-TCJ,TRX,1.599281112081884e-06,0.33847243178216063
t+7,HAR-TCJ,XLM,6.487003624137534e-06,0.3425837179679004
t+7,HAR-TCJ,XRP,6.444200540936654e-06,0.40356234117036577
t+7,LHAR-TCJ,ADA,4.445127696704954e-06,0.264321792204871
t+7,LHAR-TCJ,BNB,1.4882445370291598e-06,0.3032585903407099
t+7,LHAR-TCJ,BTC,5.399366579801002e-07,0.23545644382807765
t+7,LHAR-TCJ,DOGE,1.3248564679383291e-05,0.39255893877573217
t+7,LHAR-TCJ,ETH,1.472564665865222e-06,0.24851933699387344
t+7,LHAR-TCJ,TRX,1.658062464548017e-06,0.3408293602475041
t+7,LHAR-TCJ,XLM,6.5309677139585845e-06,0.34342790811655377
t+7,LHAR-TCJ,XRP,6.465547054045127e-06,0.40706264462966
t+7,Fuzzy HAR,ADA,2.9562702648746916e-06,0.19689303413171746
t+7,Fuzzy HAR,BNB,9.470787393208016e-07,0.41621700726503796
t+7,Fuzzy HAR,BTC,4.1980406722680035e-07,0.17990831477559496
t+7,Fuzzy HAR,DOGE,1.0169027553205882e-05,0.3197671050168253
t+7,Fuzzy HAR,ETH,1.138169773367368e-06,0.17366571744867762
t+7,Fuzzy HAR,TRX,1.2296915768039812e-06,0.2643114144532226
t+7,Fuzzy HAR,XLM,3.2832351495380566e-06,0.2083905898121161
t+7,Fuzzy HAR,XRP,4.339030387045462e-06,0.28816466682101394
t+7,RV-FTS,ADA,5.086116793816308e-06,0.3318556739287171
t+7,RV-FTS,BNB,1.3946746158103997e-06,0.3187305698026893
t+7,RV-FTS,BTC,6.681432822209685e-07,0.29512436425426153
t+7,RV-FTS,DOGE,1.825622367963842e-05,0.5282697818674806
t+7,RV-FTS,ETH,1.7071798977787612e-06,0.27929555766500835
t+7,RV-FTS,TRX,3.0668760878257296e-06,0.40460905495270977
t+7,RV-FTS,XLM,7.890821782048915e-06,0.4368230443090897
t+7,RV-FTS,XRP,6.553754742859937e-06,0.5158797185928806
t+30,HAR,ADA,3.419827324024157e-06,0.2467913977978293
t+30,HAR,BNB,1.3032620266476608e-06,0.2618961733572916
t+30,HAR,BTC,3.5666569577446004e-07,0.17969196107288818
t+30,HAR,DOGE,9.992231052966853e-06,0.34712704038942604
t+30,HAR,ETH,1.098257872565685e-06,0.2255702493918422
t+30,HAR,TRX,1.1527687264914748e-06,0.36311631826120633
t+30,HAR,XLM,3.4929555432621817e-06,0.2956289253486892
t+30,HAR,XRP,2.2883959602444395e-06,0.21777567081562296
t+30,HAR-CJ,ADA,3.3600412679675656e-06,0.24310270474613782
t+30,HAR-CJ,BNB,1.2672786374084433e-06,0.25716493224106196
t+30,HAR-CJ,BTC,3.363286876151317e-07,0.1746003966967947
t+30,HAR-CJ,DOGE,9.718144769097683e-06,0.34174431317509874
t+30,HAR-CJ,ETH,1.0560659545892625e-06,0.22079948208474276
t+30,HAR-CJ,TRX,1.117787752309069e-06,0.34886817372751733
t+30,HAR-CJ,XLM,3.434949433743366e-06,0.29260226314952775
t+30,HAR-CJ,XRP,2.283469894486954e-06,0.21727139839653892
t+30,HAR-SJ,ADA,3.2894226629159243e-06,0.23891669972149354
t+30,HAR-SJ,BNB,1.2650988067991486e-06,0.25541252117832824
t+30,HAR-SJ,BTC,3.466582855399659e-07,0.17584614221723988
t+30,HAR-SJ,DOGE,9.521679732401112e-06,0.3343277279743354
t+30,HAR-SJ,ETH,1.124931410625333e-06,0.22076561994114907
t+30,HAR-SJ,TRX,1.0965585231347106e-06,0.3392542911978637
t+30,HAR-SJ,XLM,3.419181041489327e-06,0.2909613398664997
t+30,HAR-SJ,XRP,2.221094745496307e-06,0.2116275705375684
t+30,HAR-TCJ,ADA,2.9038879813252566e-06,0.21845263468293857
t+30,HAR-TCJ,BNB,1.1829417739608978e-06,0.24645465162649538
t+30,HAR-TCJ,BTC,3.1669152212906974e-07,0.16454112687865366
t+30,HAR-TCJ,DOGE,9.355697083501676e-06,0.33117558889258836
t+30,HAR-TCJ,ETH,9.456692687820269e-07,0.2012407206613563
t+30,HAR-TCJ,TRX,8.801176292793484e-07,0.3016140531751457
t+30,HAR-TCJ,XLM,3.5411269818902285e-06,0.2999828357732258
t+30,HAR-TCJ,XRP,2.406055751027312e-06,0.22293523384567812
t+30,LHAR-TCJ,ADA,2.9405747740288347e-06,0.220271872189523
t+30,LHAR-TCJ,BNB,1.1962321540557983e-06,0.24769058245021303
t+30,LHAR-TCJ,BTC,3.181339996303309e-07,0.16457503803739376
t+30,LHAR-TCJ,DOGE,9.324580033219816e-06,0.3308630872050631
t+30,LHAR-TCJ,ETH,9.663267046792409e-07,0.20305746560804547
t+30,LHAR-TCJ,TRX,8.970460556362578e-07,0.3026004862298953
t+30,LHAR-TCJ,XLM,3.551498756848116e-06,0.3011443081712097
t+30,LHAR-TCJ,XRP,2.4238612465072525e-06,0.22384488408336467
t+30,Fuzzy HAR,ADA,1.094032793886631e-06,0.10327364100260909
t+30,Fuzzy HAR,BNB,3.022080732344311e-07,0.11910713418551372
t+30,Fuzzy HAR,BTC,1.2741351327847745e-07,0.08927159405600074
t+30,Fuzzy HAR,DOGE,3.972257896851104e-06,0.18215728268549583
t+30,Fuzzy HAR,ETH,3.770289817669257e-07,0.09627710445163687
t+30,Fuzzy HAR,TRX,4.817226464808415e-07,0.3019496636360627
t+30,Fuzzy HAR,XLM,1.8374840082670976e-06,0.14740046487905423
t+30,Fuzzy HAR,XRP,1.0264798442513547e-06,0.12858470862652258
t+30,RV-FTS,ADA,2.174737685323488e-06,0.2141625226910547
t+30,RV-FTS,BNB,8.082840580945186e-07,0.24112362574853452
t+30,RV-FTS,BTC,2.9735787344963333e-07,0.1698837788356939
t+30,RV-FTS,DOGE,1.1581850293262039e-05,0.49436911675571604
t+30,RV-FTS,ETH,7.992241440692297e-07,0.17352384529434398
t+30,RV-FTS,TRX,1.3773874372793366e-06,0.3269286649101023
t+30,RV-FTS,XLM,2.7218595517357888e-06,0.2823678334868482
t+30,RV-FTS,XRP,1.9686383471474515e-06,0.2549004396587009
